# Network Reconnaissance Payloads

## NMAP - Network Scanning

### Basic Scanning
nmap 192.168.1.0/24                                    # Simple ping scan
nmap -sn 192.168.1.0/24                               # Ping sweep (no port scan)
nmap -sL 192.168.1.0/24                               # List targets without scanning
nmap -Pn 192.168.1.100                                # Skip host discovery

### Port Scanning Techniques
nmap -sS 192.168.1.100                                # TCP SYN scan (stealth)
nmap -sT 192.168.1.100                                # TCP Connect scan
nmap -sU 192.168.1.100                                # UDP scan
nmap -sA 192.168.1.100                                # TCP ACK scan (firewall detection)
nmap -sW 192.168.1.100                                # TCP Window scan
nmap -sM 192.168.1.100                                # TCP Maimon scan
nmap -sN 192.168.1.100                                # TCP Null scan
nmap -sF 192.168.1.100                                # TCP FIN scan
nmap -sX 192.168.1.100                                # TCP Xmas scan

### Port Specification
nmap -p 80 192.168.1.100                              # Scan single port
nmap -p 80,443,8080 192.168.1.100                     # Scan specific ports
nmap -p 1-65535 192.168.1.100                         # Scan all ports
nmap -p- 192.168.1.100                                # Scan all 65535 ports
nmap -p U:53,T:21-25,80 192.168.1.100                 # Mix TCP and UDP
nmap --top-ports 100 192.168.1.100                    # Scan top 100 ports
nmap -F 192.168.1.100                                 # Fast scan (100 common ports)

### Service and Version Detection
nmap -sV 192.168.1.100                                # Service version detection
nmap -sV --version-intensity 9 192.168.1.100          # Aggressive version detection
nmap -sV --version-light 192.168.1.100                # Light version detection
nmap -sV --version-all 192.168.1.100                  # Try all probes

### OS Detection
nmap -O 192.168.1.100                                 # OS detection
nmap -O --osscan-guess 192.168.1.100                  # Aggressive OS guessing
nmap -A 192.168.1.100                                 # Aggressive scan (OS, version, scripts, traceroute)

### Timing and Performance
nmap -T0 192.168.1.100                                # Paranoid (IDS evasion)
nmap -T1 192.168.1.100                                # Sneaky
nmap -T2 192.168.1.100                                # Polite
nmap -T3 192.168.1.100                                # Normal (default)
nmap -T4 192.168.1.100                                # Aggressive
nmap -T5 192.168.1.100                                # Insane
nmap --min-rate 100 192.168.1.100                     # Min packets per second
nmap --max-rate 1000 192.168.1.100                    # Max packets per second

### NSE Scripts (Nmap Scripting Engine)
nmap --script=default 192.168.1.100                   # Default scripts
nmap --script=vuln 192.168.1.100                      # Vulnerability scripts
nmap --script=exploit 192.168.1.100                   # Exploit scripts
nmap --script=auth 192.168.1.100                      # Authentication scripts
nmap --script=brute 192.168.1.100                     # Brute force scripts
nmap --script=discovery 192.168.1.100                 # Discovery scripts
nmap --script=malware 192.168.1.100                   # Malware detection
nmap --script=safe 192.168.1.100                      # Safe scripts only
nmap --script="http-*" 192.168.1.100                  # All HTTP scripts
nmap --script-args http.useragent="Mozilla" 192.168.1.100  # Script arguments

### Firewall/IDS Evasion
nmap -f 192.168.1.100                                 # Fragment packets
nmap -D RND:10 192.168.1.100                          # Decoy scan (10 random)
nmap -D 192.168.1.5,192.168.1.6,ME 192.168.1.100      # Specific decoys
nmap -S 192.168.1.50 192.168.1.100                    # Spoof source address
nmap -g 53 192.168.1.100                              # Use source port 53
nmap --source-port 53 192.168.1.100                   # Source port specification
nmap --data-length 25 192.168.1.100                   # Append random data
nmap --mtu 16 192.168.1.100                           # Set MTU
nmap --badsum 192.168.1.100                           # Send packets with bad checksums
nmap --randomize-hosts 192.168.1.0/24                 # Randomize target order

### Output Options
nmap -oN scan.txt 192.168.1.100                       # Normal output
nmap -oX scan.xml 192.168.1.100                       # XML output
nmap -oG scan.gnmap 192.168.1.100                     # Grepable output
nmap -oA scan 192.168.1.100                           # All formats
nmap -v 192.168.1.100                                 # Verbose
nmap -vv 192.168.1.100                                # Very verbose
nmap -d 192.168.1.100                                 # Debugging
nmap --reason 192.168.1.100                           # Show reason for port state

### Comprehensive Scans
nmap -sS -sV -O -p- --script=vuln -T4 192.168.1.100                    # Full comprehensive
nmap -sS -sU -sV -O -p- --script=default,vuln -T4 192.168.1.100        # TCP + UDP comprehensive
nmap -sS -sV -O -p- --script="default,vuln,exploit" -oA full_scan 192.168.1.100  # Full pentest scan

### Masscan - Fast Port Scanner
masscan 192.168.1.0/24 -p0-65535 --rate 10000                          # Ultra fast scan
masscan 192.168.1.0/24 -p80,443,8080 --rate 1000                       # Fast specific ports
